F9_00_ORG_ADDR_CITY,F9_00_ORG_ADDR_STATE,CITY
ALBANY,IN,ALBANY
ROANOKE,IN,ROANOKE
WILLIAMSPORT,IN,WILLIAMSPORT
KNOXVILLE,IA,KNOXVILLE
KINGSVILLE,MO,KINGSVILLE
OXFORD,IA,OXFORD
MACON,IL,MACON
CAMBRIDGE,IL,CAMBRIDGE
SHERIDAN,IL,SHERIDAN
ABERDEEN,SD,ABERDEEN
DOVER,MN,DOVER
SYRACUSE,NE,SYRACUSE
RICHMOND,IL,RICHMOND
MONTGOMERY,IL,MONTGOMERY
LAKE CITY,MI,LAKE CITY
OXFORD,NY,OXFORD
MADISON,VA,MADISON
CENTRALIA,IL,CENTRALIA
ROANOKE,IL,ROANOKE
LEBANON,IL,LEBANON
MASON CITY,IL,MASON CITY
PITTSFIELD,IL,PITTSFIELD
FARMINGTON,IL,FARMINGTON
EL PASO,IL,EL PASO
WINCHESTER,IL,WINCHESTER
EAGLE PASS,TX,EAGLE PASS
BOWLING GREEN,MO,BOWLING GREEN
READING,MI,READING
CARSON CITY,MI,CARSON CITY
LAWTON,MI,LAWTON
MARSHALL,MI,MARSHALL
QUINCY,MI,QUINCY
ITHACA,MI,ITHACA
DECATUR,MI,DECATUR
CLARKSVILLE,MI,CLARKSVILLE
SHERIDAN,MT,SHERIDAN
BANGOR,MI,BANGOR
LINCOLN,MI,LINCOLN
YUMA,CO,YUMA
SEYMOUR,WI,SEYMOUR
BLOOMINGTON,WI,BLOOMINGTON
ALBANY,OR,ALBANY
LANCASTER,WI,LANCASTER
ALTOONA,WI,ALTOONA
BANGOR,WI,BANGOR
JUNEAU,WI,JUNEAU
TYLER,MN,TYLER
MEDFORD,MN,MEDFORD
CLINTON,MN,CLINTON
RICHMOND,MN,RICHMOND
ALBANY,MN,ALBANY
MONTGOMERY,IN,MONTGOMERY
APPLETON,MN,APPLETON
ROCKFORD,MN,ROCKFORD
LAKE CITY,MN,LAKE CITY
LAWRENCEBURG,TN,LAWRENCEBURG
ODESSA,DE,ODESSA
DALTON,MN,DALTON
MONROE,IA,MONROE
LOGAN,IA,LOGAN
CLARKSVILLE,IA,CLARKSVILLE
DUBOIS,WY,DUBOIS
ROANOKE,WV,ROANOKE
ROCKY MOUNT,MO,ROCKY MOUNT
MACON,MO,MACON
VINEYARD HAVEN,MA,VINEYARD HAVEN
BISMARCK,MO,BISMARCK
SAVANNAH,MO,SAVANNAH
MOUNT VERNON,MO,MOUNT VERNON
MARSHALL,MO,MARSHALL
SALISBURY,MO,SALISBURY
CLARKSVILLE,MO,CLARKSVILLE
MEMPHIS,MO,MEMPHIS
LINCOLN,MO,LINCOLN
WINONA,MO,WINONA
CLEVELAND,MS,CLEVELAND
FLORENCE,TX,FLORENCE
RALEIGH,ND,RALEIGH
SPRINGFIELD,GA,SPRINGFIELD
PRESCOTT,WI,PRESCOTT
CHARLESTON,MS,CHARLESTON
MONROE,UT,MONROE
MARSHALL,AR,MARSHALL
COLUMBUS,NC,COLUMBUS
LEBANON,VA,LEBANON
HARRISON,SD,HARRISON
JASPER,TN,JASPER
DAYTON,IN,DAYTON
SALEM,SC,SALEM
JONESBORO,GA,JONESBORO
FLORENCE,AZ,FLORENCE
JASPER,AL,JASPER
LANCASTER,VA,LANCASTER
ABERDEEN,ID,ABERDEEN
MADISON,SD,MADISON
FORT PAYNE,AL,FORT PAYNE
HELENA,AR,HELENA
VERNAL,UT,VERNAL
CLINTON,MI,CLINTON
EL DORADO,CA,EL DORADO
MARSHALL,VA,MARSHALL
LACONIA,IN,LACONIA
ARDMORE,AL,ARDMORE
COOS BAY,OR,COOS BAY
BANGOR,CA,BANGOR
SONORA,CA,SONORA
DEMING,WA,DEMING
RIVERTON,WY,RIVERTON
MOUNT VERNON,GA,MOUNT VERNON
TOLEDO,IA,TOLEDO
SEYMOUR,TX,SEYMOUR
LYNCHBURG,TN,LYNCHBURG
ROCHESTER,WA,ROCHESTER
DOUGLAS,NE,DOUGLAS
GEORGETOWN,CA,GEORGETOWN
HARRISON,TN,HARRISON
TRENTON,TN,TRENTON
MOUNT VERNON,TX,MOUNT VERNON
LINCOLN,MT,LINCOLN
MADISON,NE,MADISON
OXFORD,NE,OXFORD
CAMBRIDGE,NE,CAMBRIDGE
SALEM,VA,SALEM
WACO,GA,WACO
ATHENS,IL,ATHENS
SAVANNAH,NY,SAVANNAH
SAYRE,OK,SAYRE
LEBANON,KY,LEBANON
FLINT,TX,FLINT
CLEVELAND,NC,CLEVELAND
COLUMBUS,KS,COLUMBUS
LINCOLN,KS,LINCOLN
TRENTON,FL,TRENTON
JASPER,AR,JASPER
CLINTON,NC,CLINTON
DAYTON,WA,DAYTON
LAKE CITY,CO,LAKE CITY
CLEVELAND,SC,CLEVELAND
OXFORD,MD,OXFORD
FARMINGTON,WV,FARMINGTON
ROCKY MOUNT,VA,ROCKY MOUNT
MADISON,MD,MADISON
CLARKSVILLE,AR,CLARKSVILLE
HOT SPRINGS,VA,HOT SPRINGS
MOUNT VERNON,VA,MOUNT VERNON
VICTORIA,VA,VICTORIA
EMPORIA,VA,EMPORIA
BOWLING GREEN,VA,BOWLING GREEN
BROOKINGS,OR,BROOKINGS
SALEM,WV,SALEM
CLINTON,SC,CLINTON
CLEVELAND,GA,CLEVELAND
OXFORD,NC,OXFORD
COLUMBIA,NC,COLUMBIA
MARIETTA,NC,MARIETTA
MACON,NC,MACON
ROANOKE RAPIDS,NC,ROANOKE RAPIDS
FAIRMONT,NC,FAIRMONT
JACKSON,GA,JACKSON
CLEVELAND,TX,CLEVELAND
WALTERBORO,SC,WALTERBORO
GREAT FALLS,SC,GREAT FALLS
JACKSON,SC,JACKSON
DOUGLAS,GA,DOUGLAS
TRENTON,GA,TRENTON
JACKSON,NC,JACKSON
JACKSONVILLE,AL,JACKSONVILLE
MOUNT VERNON,KY,MOUNT VERNON
CLINTON,KY,CLINTON
BEAVER DAM,KY,BEAVER DAM
LAWRENCEBURG,KY,LAWRENCEBURG
ALEXANDRIA,KY,ALEXANDRIA
MOSCOW,TN,MOSCOW
DOVER,TN,DOVER
HUNTSVILLE,TN,HUNTSVILLE
OXFORD,AL,OXFORD
MOUNT VERNON,AL,MOUNT VERNON
MACON,MS,MACON
WINONA,MS,WINONA
DECATUR,MS,DECATUR
PONCE,PR,PONCE
MAYAGUEZ,PR,MAYAGUEZ
SALINAS,PR,SALINAS
CLEARLAKE,CA,CLEARLAKE
JACKSON,CA,JACKSON
CLINTON,AR,CLINTON
LINCOLN,AR,LINCOLN
FARMINGTON,AR,FARMINGTON
CHARLESTON,AR,CHARLESTON
DAYTON,MD,DAYTON
COLUMBIA,LA,COLUMBIA
JONESBORO,LA,JONESBORO
ALBANY,LA,ALBANY
SPRINGFIELD,LA,SPRINGFIELD
CLINTON,LA,CLINTON
EVANSVILLE,WY,EVANSVILLE
CLINTON,OK,CLINTON
MIAMI,OK,MIAMI
COLUMBUS,TX,COLUMBUS
AKRON,CO,AKRON
HOLLAND,TX,HOLLAND
WINCHESTER,TX,WINCHESTER
MERIDIAN,TX,MERIDIAN
CLARKSVILLE,TX,CLARKSVILLE
KEENE,TX,KEENE
ALBANY,MO,ALBANY
QUINCY,WA,QUINCY
WILMINGTON,IL,WILMINGTON
DAYTON,TX,DAYTON
SPRINGFIELD,NE,SPRINGFIELD
LAWTON,PA,LAWTON
CORVALLIS,MT,CORVALLIS
COLUMBUS,MT,COLUMBUS
HUNTINGTON,TX,HUNTINGTON
MARSHALL,IL,MARSHALL
GREENVILLE,FL,GREENVILLE
DECATUR,IA,DECATUR
MADISON,IL,MADISON
CAMBRIDGE,ID,CAMBRIDGE
DOVER,FL,DOVER
JACKSON,NH,JACKSON
BOULDER,UT,BOULDER
BOWLING GREEN,SC,BOWLING GREEN
RICHMOND,RI,RICHMOND
DAYTON,WY,DAYTON
JOHNSTOWN,CO,JOHNSTOWN
SHERIDAN,CO,SHERIDAN
CLEVELAND,MO,CLEVELAND
COLUMBUS,NM,COLUMBUS
FAYETTEVILLE,TX,FAYETTEVILLE
PRICE,UT,PRICE
FERNLEY,NV,FERNLEY
ROCHESTER,IL,ROCHESTER
OTHELLO,WA,OTHELLO
PRESCOTT,WA,PRESCOTT
SHERIDAN,OR,SHERIDAN
LEBANON,OR,LEBANON
HAMMOND,OR,HAMMOND
AKRON,IA,AKRON
MARSHALL,CA,MARSHALL
WILMINGTON,CA,WILMINGTON
